,ec_num,ph_min,ph_max,comments,organism,uniprot_id,ref,substrates,products,notes,reaction_type,substrates_rev,condition,to_fix,notes.1,subst_str,rxn_type_guess,all_substrates,name
4282,1.5.1.3,5,9,activity at pH 9 is 8% of the activity at pH 5,Mycobacterium tuberculosis,P9WNX0,655633,"7,8-dihydrofolate + NADPH","5,6,7,8-tetrahydrofolate + NADP+",,,,,,,"7,8-dihydrofolate + NADPH",reduction,"{'NADPH', '7,8-dihydrofolate'}",dihydrofolate reductase
4281,1.5.1.3,5,9,activity at pH 9 is 8% of the activity at pH 5,Mycobacterium tuberculosis,P9WNX1,655633,"7,8-dihydrofolate + NADPH","5,6,7,8-tetrahydrofolate + NADP+",,,,,,,"7,8-dihydrofolate + NADPH",reduction,"{'NADPH', '7,8-dihydrofolate'}",dihydrofolate reductase
4285,1.5.1.30,4.5,8,"pH 4.5: about 85% of maximal activity, pH 8.0: about 45% of maximal activity",Homo sapiens,P30043,392188,FMN + NADPH + H+,FMNH2 + NADP+,,,,,,,FMN + NADPH + H+,reduction,"{'FMN', 'H+', 'NADPH'}",flavin reductase (NADPH)
754,1.3.99.41,5,9.5,more than 60% activity between pH 5.0 and 9.5,Roseovarius nubinhibens,A3SI50,765397,3-(methylsulfanyl)propanoyl-CoA + FAD,3-(methylsulfanyl)acryloyl-CoA + FADH2,,,,,,,3-(methylsulfanyl)propanoyl-CoA + FAD,oxidation,"{'FAD', '3-(methylsulfanyl)propanoyl-CoA'}",3-(methylsulfanyl)propanoyl-CoA 2-dehydrogenase
757,1.4.1.1,9,11.5,over 50% of maximal activity within this range wild-type enzyme,Alkalihalophilus pseudofirmus,D3FSP2,762981,L-alanine + H2O + NAD+,pyruvate + NH3 + NADH + H+,,,,,,,L-alanine + H2O + NAD+,oxidation,"{'H2O', 'NAD+', 'L-alanine'}",alanine dehydrogenase
4241,1.4.1.14,6,9,at pH 6 and 9 about 50% of activity maximum,Saccharomyces cerevisiae,Q12680,391485,L-glutamine + 2-oxoglutarate + NADH,L-glutamate + NAD+,,,,,,,L-glutamine + 2-oxoglutarate + NADH,reduction,"{'NADH', 'L-glutamine', '2-oxoglutarate'}",glutamate synthase (NADH)
763,1.4.1.20,9,10.5,the enzyme shows more than 50% of the maximal activity between pH 9.0 and 10.5,Fictibacillus nanhaiensis,A0A1B1PGG4,743108,L-phenylalanine + H2O + NAD+,phenylpyruvate + NH3 + NADH + H+,,,,,,,L-phenylalanine + H2O + NAD+,oxidation,"{'H2O', 'NAD+', 'L-phenylalanine'}",phenylalanine dehydrogenase
771,1.4.1.3,7,9,"pH 7.0: about 50% of maximal activity, pH 9.0: about 35% of maximal activity",Pyrococcus furiosus,P80319,744858,L-glutamate + H2O + NADP+,2-oxoglutarate + NH3 + NADPH + H+,,,,,,,L-glutamate + H2O + NADP+,oxidation,"{'NADP+', 'H2O', 'L-glutamate'}",glutamate dehydrogenase [NAD(P)+]
766,1.4.1.3,6.5,8,"pH 6.5: about 50% of maximal activity, pH 8.0: about 70% of maximal activity",Thermococcus litoralis,Q56304,744858,L-glutamate + H2O + NADP+,2-oxoglutarate + NH3 + NADPH + H+,,,,,,,L-glutamate + H2O + NADP+,oxidation,"{'NADP+', 'H2O', 'L-glutamate'}",glutamate dehydrogenase [NAD(P)+]
777,1.4.3.10,7.5,9.5,"pH 7.5: about 60% of maximal activity, pH 9.5: about 80% of maximal activity",Rhodococcus erythropolis,B0F9F6,765138,cadaverine + O2 + H2O,5-aminopentanal + NH3 + H2O2,,,,,,,cadaverine + O2 + H2O,oxidation,"{'H2O', 'cadaverine', 'O2'}",putrescine oxidase
778,1.4.3.11,5,7.5,more than 50% activity between pH 5.0 and 7.5,Streptomyces viridosporus,D6A5I3,743742,L-glutamate + O2 + H2O,2-oxoglutarate + NH3 + H2O2,,,,,,,L-glutamate + O2 + H2O,oxidation,"{'H2O', 'L-glutamate', 'O2'}",L-glutamate oxidase
4287,1.5.1.33,4.5,7,"pH 4.5: about 50% of maximal activity, pH 7.0: about 30% of maximal activity with biopterin",Leishmania tarentolae,P42556,484956,folate + NADPH,"5,6,7,8-tetrahydrofolate + NADP+",,,,,,,folate + NADPH,reduction,"{'folate', 'NADPH'}",pteridine reductase
812,1.5.1.40,7.5,10,"pH 7.5: about 50% of maximal activity, pH 10.0: about 90% of maximal activity, reduction of NADP+ with reduced coenzyme F420",Methanogenium organophilum,P80951,724136,reduced coenzyme F420 + NADP+,oxidized coenzyme F420 + NADPH + H+,,,,,,,reduced coenzyme F420 + NADP+,oxidation,"{'NADP+', 'reduced coenzyme F420'}",8-hydroxy-5-deazaflavin:NADPH oxidoreductase
4310,1.7.1.1,6,8.5,"pH 6.0: about 35% of maximal activity, pH 8.5: about 45% of maximal activity",Glycine max,P39870,392918,nitrate + NADH,nitrite + NAD+ + H2O,,,,,,,nitrate + NADH,reduction,"{'NADH', 'nitrate'}",nitrate reductase (NADH)
4311,1.7.1.1,6,8.5,"pH 6.0: about 35% of maximal activity, pH 8.5: about 45% of maximal activity",Glycine max,P54233,392918,nitrate + NADH,nitrite + NAD+ + H2O,,,,,,,nitrate + NADH,reduction,"{'NADH', 'nitrate'}",nitrate reductase (NADH)
850,1.7.1.13,6.5,8,more than 60% of maximum activity,Pectobacterium carotovorum subsp. carotovorum,C6DAH4,743107,7-cyano-7-carbaguanine + 2 NADPH + 2 H+,7-aminomethyl-7-carbaguanine + 2 NADP+,,,,,,,7-cyano-7-carbaguanine + 2 NADPH + 2 H+,reduction,"{'NADPH', 'H+', '7-cyano-7-carbaguanine'}",preQ1 synthase
4313,1.7.1.4,4,11,"pH 4.0: 40% activity, pH 11.0: 70% activity",Neurospora crassa,P38681,392935,NAD(P)H + nitrite + H+,NAD(P)+ + NH3 + H2O,,,,,,,NAD(P)H + nitrite + H+,reduction,"{'NAD(P)H', 'H+', 'nitrite'}",nitrite reductase [NAD(P)H]
814,1.5.1.47,4.8,6.3,"pH 4.8: about 55% of maximal activity, pH 6.3: about 70% of maximal activity",Methylorubrum extorquens,C5B2R8,719701,"7,8-dihydromethanopterin + NAD(P)H + H+","5,6,7,8-tetrahydromethanopterin + NAD(P)+",,,,,,,"7,8-dihydromethanopterin + NAD(P)H + H+",reduction,"{'7,8-dihydromethanopterin', 'NAD(P)H', 'H+'}",dihydromethanopterin reductase [NAD(P)+]
4290,1.5.1.7,5.2,9,"half-maximal activities at pH 5.2 and 9.0, L-lysine + 2-oxoglutarate + NADH",Saccharomyces cerevisiae,P38998,396553,"N6-(L-1,3-dicarboxypropyl)-L-lysine + NAD+ + H2O",L-lysine + 2-oxoglutarate + NADH,,,,,,,"N6-(L-1,3-dicarboxypropyl)-L-lysine + NAD+ + H2O",oxidation,"{'N6-(L-1,3-dicarboxypropyl)-L-lysine', 'NAD+', 'H2O'}","saccharopine dehydrogenase (NAD+, L-lysine-forming)"
827,1.5.3.22,6.5,8.5,30% of the maximal activity at pH 6.5 and 8.5,Methanobrevibacter arboriphilus,B1A7S3,724138,2 reduced coenzyme F420 + O2,2 oxidized coenzyme F420 + 2 H2O,,,,,,,2 reduced coenzyme F420 + O2,oxidation,"{'reduced coenzyme F420', 'O2'}",coenzyme F420H2 oxidase
