prot_index,ph,note,ph_dependence,uniprot_id
1,4.0,{ECO:0000269|PubMed:25219509};,Optimum pH is 4-7. {ECO:0000269|PubMed:25219509};,A0A024SC78
1,7.0,{ECO:0000269|PubMed:25219509};,Optimum pH is 4-7. {ECO:0000269|PubMed:25219509};,A0A024SC78
4,5.0,Activity decreases sharply when the pH is lowered from 5 to 4. {ECO:0000269|PubMed:27242828};,Optimum pH is between 5-6. Activity decreases sharply when the pH is lowered from 5 to 4. {ECO:0000269|PubMed:27242828};,A0A067XR63
4,6.0,Activity decreases sharply when the pH is lowered from 5 to 4. {ECO:0000269|PubMed:27242828};,Optimum pH is between 5-6. Activity decreases sharply when the pH is lowered from 5 to 4. {ECO:0000269|PubMed:27242828};,A0A067XR63
12,1.0,{ECO:0000269|PubMed:25342741};,Optimum pH is 1-8. {ECO:0000269|PubMed:25342741};,A0A097PTA8
12,8.0,{ECO:0000269|PubMed:25342741};,Optimum pH is 1-8. {ECO:0000269|PubMed:25342741};,A0A097PTA8
14,6.5,{ECO:0000269|PubMed:25142187};,Optimum pH is 6.5-7.0. {ECO:0000269|PubMed:25142187};,A0A0A1HA03
14,7.0,{ECO:0000269|PubMed:25142187};,Optimum pH is 6.5-7.0. {ECO:0000269|PubMed:25142187};,A0A0A1HA03
15,7.0,at 35 degrees Celsius. {ECO:0000269|PubMed:17157960};,Optimum pH is 7-7.5 at 35 degrees Celsius. {ECO:0000269|PubMed:17157960};,A0A0B4K692
15,7.5,at 35 degrees Celsius. {ECO:0000269|PubMed:17157960};,Optimum pH is 7-7.5 at 35 degrees Celsius. {ECO:0000269|PubMed:17157960};,A0A0B4K692
18,7.0,{ECO:0000269|PubMed:16466637};,Optimum pH is between 7-8. {ECO:0000269|PubMed:16466637};,A0A0E3KBH3
18,8.0,{ECO:0000269|PubMed:16466637};,Optimum pH is between 7-8. {ECO:0000269|PubMed:16466637};,A0A0E3KBH3
