prot_index,ph,note,ph_dependence,uniprot_id,min_max_diff,activity,reaction_type
0,5.5,{ECO:0000269|PubMed:34801773};,Optimum pH is 5.5. {ECO:0000269|PubMed:34801773};,A0A023I7E1,,1.0,
4323,4.5,with CMC as substrate. {ECO:0000269|PubMed:33523417};,Optimum pH is 4.5 with CMC as substrate. {ECO:0000269|PubMed:33523417};,A0A023VXA2,,1.0,
1,5.5,{ECO:0000269|PubMed:25219509};,Optimum pH is 4-7. {ECO:0000269|PubMed:25219509};,A0A024SC78,3.0,1.0,
2,7.0,Active from pH 7.0 to 8.5. {ECO:0000269|PubMed:12855702};,Optimum pH is 7.0. Active from pH 7.0 to 8.5. {ECO:0000269|PubMed:12855702};,A0A044RE18,,1.0,
3,6.0,{ECO:0000269|PubMed:25217505};,Optimum pH is 6. {ECO:0000269|PubMed:25217505};,A0A059TC02,,1.0,
3007,7.0,{ECO:0000269|PubMed:24928877};,Optimum pH is 7. {ECO:0000269|PubMed:24928877};,A0A059WLZ7,,1.0,
4324,5.5,{ECO:0000269|PubMed:25846332};,Optimum pH is 5.5. {ECO:0000269|PubMed:25846332};,A0A059ZV61,,1.0,
3008,7.5,{ECO:0000303|Ref.1};,Optimum pH is 7.5. {ECO:0000303|Ref.1};,A0A060S684,,1.0,
4325,9.25,{ECO:0000269|PubMed:16333668};,Optimum pH is 9.0-9.5. {ECO:0000269|PubMed:16333668};,A0A061FMF5,0.5,1.0,
4,5.5,Activity decreases sharply when the pH is lowered from 5 to 4. {ECO:0000269|PubMed:27242828};,Optimum pH is between 5-6. Activity decreases sharply when the pH is lowered from 5 to 4. {ECO:0000269|PubMed:27242828};,A0A067XR63,1.0,1.0,
5,6.0,Highly active between pH range 4.5-6.5. {ECO:0000269|PubMed:27242828};,Optimum pH is around 6. Highly active between pH range 4.5-6.5. {ECO:0000269|PubMed:27242828};,A0A067XRK9,,1.0,
6,6.0,Activity decreases sharply when the pH is lowered from 5 to 4. {ECO:0000269|PubMed:27966647};,Optimum pH is around 6. Activity decreases sharply when the pH is lowered from 5 to 4. {ECO:0000269|PubMed:27966647};,A0A067YMX8,,1.0,
7,7.0,Stable between pH 6.0 and 9.8. {ECO:0000269|PubMed:25002425};,Optimum pH is 7.0. Stable between pH 6.0 and 9.8. {ECO:0000269|PubMed:25002425};,A0A075BSX9,,1.0,
8,7.5,{ECO:0000269|PubMed:26848097};,Optimum pH is 7.5. {ECO:0000269|PubMed:26848097};,A0A075D5I4,,1.0,
9,7.0,{ECO:0000269|PubMed:26848097};,Optimum pH is 7. {ECO:0000269|PubMed:26848097};,A0A075D657,,1.0,
3009,8.5,Shows almost no activity at pH 5. {ECO:0000269|PubMed:34709726};,Optimum pH is 8-9. Shows almost no activity at pH 5. {ECO:0000269|PubMed:34709726};,A0A075HNX4,1.0,1.0,
10,6.0,{ECO:0000269|PubMed:24947135};,Optimum pH is 6. {ECO:0000269|PubMed:24947135};,A0A075TJ05,,1.0,
