prot_index,uniprot_id,ph_dependence,note
31,A0A0S4FKT4,Activity is stable from pH 3.5 and 10.5. {ECO:0000269|PubMed:26227411};,
46,A0A3Q0KDV9,Stable at wide pH range from 4 to 9. {ECO:0000269|PubMed:27687162};,
48,A0A411MR89,"Stable and active at pH 3-8, but loses its activity above pH 9 (PubMed:30763082). Shows reduced activity in phosphate buffer at pH 4-6 (PubMed:30763082). {ECO:0000269|PubMed:30763082};",
50,A0A6B7FMR5,"Structurally relatively unstable in pure water, but more stable in various buffers between pH 5-9. Most stable in 20 mM HEPES buffer at pH 7 with the addition of 2 mM Ca(2+). {ECO:0000269|PubMed:35448841};",
54,A0FKE6,Active at alkaline pH. {ECO:0000269|PubMed:21436043};,
57,A0QQJ4,Optimum pHs are 5.5 and 8.0. {ECO:0000269|PubMed:8631674};,
65,A1A399,"Optimum is pH 6.0 using PNPG or TOS as substrate. Not active below pH 5. {ECO:0000269|PubMed:10742215, ECO:0000269|PubMed:15480628};",
79,A3DIJ8,Optimum pH is between 8 and 8.5 for ATPase activity and between 9 and 9.5 for PPPase activity. Hydrolysis of ATP declines sharply as the pH is increased to 9.5 or decreased to below 7.0. {ECO:0000269|PubMed:17303560};,
84,A3MUY9,"Optimum pH is 10.5 for oxidative deamination, and 9.5 for reductive amination. Retains more than 80% of its activity after incubation for 30 minutes at pH 4.0-10.5. {ECO:0000269|PubMed:23508687};",
85,A3MWK6,"Optimum pH is 9.5 for oxidative deamination, and 9.0 for reductive amination. Retains more than 80% of its activity after incubation for 30 minutes at pH 4.5-9.5. {ECO:0000269|PubMed:23508687};",
96,A5JTM5,"Optimum pH is 10.0. Half maximum activity remains at pH 9.0 and 11.5. Stable from pH 6.5 to 11.0, activity is lost following 10 minutes incubation at pH 4.5 or 12.0. {ECO:0000269|PubMed:11695894, ECO:0000269|PubMed:11747444, ECO:0000269|PubMed:12899635, ECO:0000269|PubMed:1610806, ECO:0000269|PubMed:16388585, ECO:0000269|PubMed:7579994, ECO:0000269|PubMed:8218302, ECO:0000269|PubMed:9063883};",
97,A5JTM6,"Optimum pH is 8.4. 85% of activity remains at pH 9.0, 54% of activity remains at pH 7.0. {ECO:0000269|PubMed:1418673, ECO:0000269|PubMed:1610806, ECO:0000269|PubMed:9398293};",
110,A7HD43,"Optimum pH is around 11.0 for the autophosphorylation reaction with the Fe(III)-OH(-) bound form of the enzyme. At pH 8.0, displays 75% of the optimal rate. Is inactive below pH 5.5 and above pH 12.7. {ECO:0000269|PubMed:26212354};",
121,B0BMY1,Optimum pH is acidic with no activity detected at a pH higher that 7.0. {ECO:0000269|PubMed:23169667};,
123,B0LDU5,Optimum pH is approximately 8.0. {ECO:0000269|PubMed:12226219};,
139,B2FHL8,"Optimum pH for enzymatic activity is substrate-dependent, with optimal hyaluronate degradation at pH 5, poly-beta-D-glucuronate degradation at pH 7, and alginate degradation at pH 9. {ECO:0000269|PubMed:24257754};",
146,B2RKV3,"Is active against Ala-Phe-pNA over a broad pH range, from neutral to basic pH (6.5-9.0). {ECO:0000269|PubMed:11096098};",
175,B9VRJ2,Optimum pH is 6.8 for reduction (forward reaction) of codeinone to codeine and 9.0-10.0 for the oxidation (reverse reaction) of codeine to codeinone. {ECO:0000269|PubMed:29779229};,
177,C0HJB3,"Optimum pH is 4-5 (PubMed:12325362, PubMed:5145, PubMed:21924285). Activity is stable between pH 4.0 and pH 7.0 in the presence of Zn(2+) (PubMed:4973951). Activity is stable between pH 6.0 and pH 8.5, decreases below pH 5.5 at 25 degrees Celsius (PubMed:12325362). Activity is lost at pH 3 and lower, rapidly diminishes at pH 7-10 but is higher and longest at pH 11-12 (PubMed:21924285). {ECO:0000269|PubMed:21924285, ECO:0000269|PubMed:4973951, ECO:0000269|PubMed:5145};",
183,C0HK27,"Optimum pH for hemagglutinating activity is 8. Activity drops with more acidic and basic pH and is lost at pH 5 and pH 8, respectively. {ECO:0000269|PubMed:24008245};",
185,C0HLV6,Optimum pH is 6 at 25 degrees Celsius (PubMed:34093489). Retains over 60 percent activity in the pH range from 4 to 10 (PubMed:34093489). Retains activity above 50% after incubation at pH 5-10 for 72 hours (PubMed:34093489). {ECO:0000269|PubMed:34093489};,
186,C0HLV7,Optimum pH is 6 (PubMed:34467865). Retains over 72 percent activity in the pH range 5 to 8 (PubMed:34467865). Retains activity above 89% after incubation at pH 6 for 72 hours (PubMed:34467865). Retains activity above 61% after incubation at pH 5-8 for 72 hours (PubMed:34467865). {ECO:0000269|PubMed:34467865};,
187,C0HLX7,Optimum pH for hemagglutination activity is 9. {ECO:0000269|PubMed:29175164};,
196,C5G6D7,"Optimum pH is 7.6. Decreased activity at pH values below 7.0 and above 8.0. The activity against chondroitin 6-sulfate remains higher than with other substrates at low pH. At pH 6.5 the enzyme exhibits almost 60% of its maximal activity against chondroitin 6-sulfate, only 20% activity against chondroitin 4-sulfate and no measurable activity against dermatan sulfate. In contrast, at pH of 8.5 about 30% of enzyme's maximal activity against all substrates is displayed. {ECO:0000269|PubMed:18227125, ECO:0000269|PubMed:18512954};",
210,D3DKC4,"Optimum pH is 7.4 for the THF-independent L-allothreonine aldolase activity. More than 95% of full activity remains at pH 8.4, although the activities are reduced to about 90% at pH 6.9 and about 75% at pH 5.9. {ECO:0000269|PubMed:22141341};",
211,D3GDK4,"Optimum pH is 3.5 (PubMed:24848382, PubMed:28156112). More than 90% of the maximal activity is maintained between pH range 3-5 (PubMed:24848382). More than 60% of the maximal activity is maintained between pH range 2-8 (PubMed:24848382, PubMed:28156112). About 80% of the maximal activity is maintained even at pH 2.5 (PubMed:28156112). {ECO:0000269|PubMed:24848382, ECO:0000269|PubMed:28156112};",
219,D4GPK6,"Optimum pH is 6.0 for the oxidation of 2,2'-azino-di-(3-ethylbenzothiazoline)-6-sulfonic acid and 8.4 for the oxidation of syringaldazine. {ECO:0000269|PubMed:19966030};",
242,D9PUX5,Optimum pH is7.0. {ECO:0000269|PubMed:2499256};,
244,D9TT09,"Optimum pH is 6 and 6.5 for the synthetic and phosphorolytic reaction, respectively. Thermostable. Has a half-life of 60 hours at 60 degrees Celsius. {ECO:0000269|PubMed:24599311};",
249,E3PY95,"Optimum pH is 9.0 or between 8.5-8.7 (with Tris-HCl buffer). Half-maximal activity is observed at pH 7.4 and 9.7. {ECO:0000269|PubMed:11577113, ECO:0000269|PubMed:4711468, ECO:0000269|Ref.4};",
252,E4Q361,"Optimum pH is 5.5 using p-nitrophenyl beta-D-galactopyranoside (pNPGal) as substrate. Retains 80% of its maximal activity at pH 5.0 and 6.0, and 20% at pH 4.5 and 7.0. {ECO:0000269|PubMed:27141233};",
264,F1C7I4,"Optimum pH is 7.6 for oxaloacetate reduction and 9.6 for malate oxidation (PubMed:21439955, PubMed:19277715). Stable between pH 6.8-8.5 for the forward reaction (PubMed:19277715). {ECO:0000269|PubMed:19277715, ECO:0000269|PubMed:21439955};",
287,F5A6E9,"Unstable only at extreme acidic (pH 1.0) or alkaline conditions (pH 11.0). IgE-binding activity is relatively stable under acidic and alkaline conditions, however the activity is increased between pH 2.0-3.0. {ECO:0000269|PubMed:28072528};",
318,G9FRD6,"Shows a maximum of activity at pH 8.5 in the oxidation of ursocholate, and between pH 7.0 and 8.0 when tested in the reduction reaction of 3alpha,12alpha-dihydroxy-7-oxo-5beta-cholanate, with a gradual drop on the alkaline side and a sharp drop on the acidic side. {ECO:0000269|PubMed:22198717};",
319,G9FRD7,"Shows a maximum of activity between pH 7.5 and 8.0 both in the oxidation reaction of cholate and in the reduction reaction of 3alpha,12alpha-dihydroxy-7-oxo-5beta-cholanate. {ECO:0000269|PubMed:22198717};",
329,H8WR05,Has high activity over a broad pH range (4 to 11.2).;,
336,I2DBY1,"Optimum pH is 4.5 for oxidation of 2,6-dimethoxyphenol (PubMed:23111597). Retains 100% activity after incubation at pH 2.5 for 4 hours (PubMed:23111597, PubMed:19756587, PubMed:25153532). Retains >60% activity after incubation at pH 2-11 at 4 degrees Celsius (PubMed:25153532). Retains >60% activity after incubation at pH 3-9 at room temperature (PubMed:25153532). {ECO:0000269|PubMed:19756587, ECO:0000269|PubMed:23111597, ECO:0000269|PubMed:25153532};",
340,I3R637,Optimum pH is 7.5 at 60 degrees Celsius. At 40 degrees Celsius (temperature of the natural environment for H.mediterranei) the optimum pH is 6.5. {ECO:0000269|PubMed:11267765};,
348,I6WXK4,Optimum pH is near 5.5. {ECO:0000269|PubMed:16271885};,
355,J7GQ11,"Optimum pH is 5.0 for the decarboxylation of L-tyrosine. Is not active at pH below 3.5 or above 9.0. More than 90% of activity remains over pH range from 5.0 to 6.0, and activity decreases rapidly at pH below 5.0 or higher than 6.0. {ECO:0000269|PubMed:24211777};",
363,K7N5M8,"Optimum pH is 4.5 for the H(2)O(2)-dependent oxidation of Reactive Blue 5, and 5.0 for the O(2)-dependent oxidation of 4-methoxymandelate. {ECO:0000269|PubMed:23054399};",
366,L0DSL2,"Optimum pH is 7-10 for nitrite reduction, and the optimum pH is 7 for sulfite reduction with only 20% residual activity at pH 7.8. {ECO:0000269|PubMed:16500161, ECO:0000269|PubMed:20944237};",
367,L0TC47,Optimum pH is 8.0. Retains nearly 60% enzyme activity at pH 6.0. The relative stability of purified enzyme is high at acidic pH and neutral pH (4.0-7.0) as compared to its relative stability at higher pH (9.0-10.0). {ECO:0000269|PubMed:24234750};,
373,O00092,"Highly active from pH 3 to 5 with 4-nitrophenyl phosphate as substrate, and from 2.5 to 7.5 with phytic acid.;",
396,O07427,"Optimum pH is 9. Highly stable from pH 7.5 to 9.0. At lower pH values, the residual activity decreases rapidly to 50% at pH 6.5, and it is completely abolished after 1 hour of incubation at pH levels of 6.0 and below. {ECO:0000269|PubMed:17784850};",
399,O07834,Optimum pH is 9.0 for the hydrolysis of Gly-Arg-pNA. No hydrolysis of Gly-Arg-pNA is detected below pH 5.5 or above pH 11.5. Stable over a broad pH range of between 7.5 and 10.0. {ECO:0000269|PubMed:8631703};,
405,O09460,"Optimum pH is between 6.7 and 7.1. The enzyme is stable from pH 5.0 to 9.0. It completely losing activity at pH values lower than 4.5 and retaining some activity in the pH range 9-12. {ECO:0000269|PubMed:8436945, ECO:0000269|PubMed:9172347};",
418,O15245,"Optimum pH is 8.5 for the transport of MPP (PubMed:11388889). While optimum pH is 6.0 for the transport of the drug quinidine, no transport activity is observed at pH 7.5, possibly due to the protonation of quininide at pH6.0 (PubMed:11408531). {ECO:0000269|PubMed:11388889, ECO:0000269|PubMed:11408531};",
464,O34539,Optimum pH is approximately 8.0. {ECO:0000269|PubMed:28315700};,
500,O52552,Optimum pH is 7.5 for AHBA synthase activity. Retains its activity over a broad range of pH. Over 84% of the maximum activity of AHBA synthase is maintained over a pH range from 7.0 to 9.0. {ECO:0000269|PubMed:9497318};,
506,O53289,"Optimum pH is 7.5 (PubMed:25037224, PubMed:25521849). Activity declines progressively before pH 7.5 and is almost abolished at 6.0 while at higher pH the enzyme remains active till pH 9.0 (PubMed:25521849). {ECO:0000269|PubMed:25037224, ECO:0000269|PubMed:25521849};",
510,O53581,Optimum pH is above 7.0 for lipase activity. {ECO:0000269|PubMed:19225166};,
512,O54329,"Stable from pH 2.0 to 4.0. Activity decreases gradually with increasing pH. {ECO:0000269|PubMed:16626493, ECO:0000269|PubMed:8021218};",
517,O58389,"Optimum pH is around 10. Below and above pH 10, the marked decrease of activity is observed: the relative activities are 50, 22 and 55% at pH 9.5, 9.2 and 12, respectively. Is stable over a wide pH range: upon heating at 50 degrees Celsius for 20 minutes, the enzyme does not lose activity at pH 4.5-10.0. {ECO:0000269|PubMed:15902509};",
553,O76082,"Optimum pH is from 7 to 8.5. {ECO:0000269|PubMed:10525100, ECO:0000269|PubMed:10966938};",
568,O82777,"Optimum pH is 7.5-8.0. 60% of the activity is retained at pH 11.0 (PubMed:19332543). No autolysis at pH 4.0-9.0 in the presence of 5 mM EDTA or 5 mM CaCl(2) (PubMed:19805099). {ECO:0000269|PubMed:19332543, ECO:0000269|PubMed:19805099};",
575,O87170,Optimum pH for hydrolysis of PDC is 8.5 and optimum pH for synthesis of PDC is between 6.0 to 7.5. {ECO:0000269|PubMed:9864312};,
588,O94956,"Optimum pH is around 5.0 with estrone 3-sulfate, dehydroepiandrosterone sulfate and taurocholate as substrates (PubMed:12724351, PubMed:14610227, PubMed:20507927, PubMed:22201122). The high-affinity site for estrone 3-sulfate binding is pH-dependent with increased transport at lower pH, while the low-affinity site is pH-independent (PubMed:22201122). Taurocholate is only transported at acidic pH (PubMed:14610227). {ECO:0000269|PubMed:12724351, ECO:0000269|PubMed:14610227, ECO:0000269|PubMed:20507927, ECO:0000269|PubMed:22201122};",
590,O95461,"Optimum pH is 5 for xylosyltransferase activity. Optimum pH is from 5.5 to 8.0 for Beta-1,3-glucuronyltransferase activity. {ECO:0000269|PubMed:23125099};",
616,P01005,No decrease in activity observed after incubating at pH 2.5 and pH 7.4 for 1 hour. Retains 20% activity after incubation at pH 12 for 1 hour. {ECO:0000269|PubMed:23075397};,
617,P02760,The reductase activity toward cytochrome c increases at alkaline pH 8-9 when compared to pH 6-7. {ECO:0000269|PubMed:15683711};,
628,P04635,Optimum pH around 9. {ECO:0000269|PubMed:2611229};,
634,P05117,"Optimum pH is 4.4-4.8 at 35 degrees Celsius. PG1 is resistant to acidic but not to alkaline conditions, at which PG2 is released from the beta subunit. {ECO:0000269|PubMed:15007842, ECO:0000269|PubMed:6489331, ECO:0000269|PubMed:6617647, ECO:0000269|PubMed:7449759};",
644,P06106,"Optimum pH is 7.8 (for O-acetylhomoserine sulfhydrylase activity in Tris-HCl buffer) and 8.4 (for both O-acetylhomoserine sulfhydrylase and O-acetylserine sulfhydrylase activities in barbital-HCl buffer). {ECO:0000269|PubMed:4609980, ECO:0000269|PubMed:4947307};",
647,P06229,"Optimum pH is 9.3 for the exonuclease activity, 5.5 for endonuclease activity. High pH favors the exonuclease activity whereas low pH favors the endonuclease activity. {ECO:0000269|PubMed:10364212, ECO:0000269|PubMed:9874768};",
648,P06278,Active up to pH 11.;,
