ec_num	uniprot_id	opt	species	references	comments	opt_mean
3.1.1.1	Q2PCE5	1.5	Ferroplasma acidiphilum	16478448	None	1.5
3.2.1.23	C7SLY9	1.5	Bispora sp.	19453169	None	1.5
3.2.1.73	D2DRB6	1.5	Bispora sp.	19590866	#50# three activity peaks at pH 1.5, 3.5, and 5.0. At pH 1.5, 61% of the activity at pH 5.0 <67>	1.5
3.4.21.103	Q8MZS4	1.7	Physarum polycephalum	8540373	#2# hemoglobin <1>; #2# hydrolysis of hemoglobin <4>	1.7
3.2.1.4	Q97X08	1.8	Saccharolobus solfataricus	15456402,15456402	None	1.8
3.2.1.49	A2QL72	1.8	Aspergillus niger	18443780,20601723	None	1.8
1.10.3.2	Q9UVQ2	2.0	Trametes cinnabarina	14504838,22210206,23775771,25272733,27577103	#84# or below, substrate 2,2-azinobis(3-ethylbenzothiazoline-6-sulfonic acid) <69>; #179# wild-type enzyme with substrate 2,2-azino-bis(3-ethylbenzthiazoline-6-sulfonic acid) <186>; #86# with substrate 2,2-azino-bis(3-ethylbenzthiazoline-6-sulfonic acid)  <191>; #213# substrate: 2,2-azino-bis-(3-ethylbenzthiazoline-6-sulfonic acid) <216>	2.0
3.1.1.5	O59863	2.0	Kluyveromyces lactis	10052126	#47# and a second optimum at pH 7.5 <4>	2.0
1.1.99.29	Q3L245	2.0	Leucoagaricus meleagris	18083263,19888575	#4# for glucose and 1,4-benzoquinone as substrates <10>; #6# using 1,4-benzoquinone as electron acceptor <12>	2.0
3.2.1.20	Q2PCE3	2.0	Ferroplasma acidiphilum	16478448	None	2.0
3.4.23.42	Q97WS1	2.0	Saccharolobus solfataricus	2104844,2104843,7674919,1368892,1812713,24566144,19508193	#3# at 70°C <8>	2.0
3.4.23.42	Q97YX7	2.0	Saccharolobus solfataricus	2104844,2104843,7674919,1368892,1812713,24566144,19508193	#3# at 70°C <8>	2.0
3.4.23.42	P17118	2.0	Sulfolobus acidocaldarius	2104844,2104843,7674919,1368892,1812713,24566144,19508193	#3# at 70°C <8>	2.0
3.4.23.1	P00791	2.0	Sus scrofa	36374,6774974,2515193,17976195,25608034,28982106,29072742,26740464,28024644	#23# isoform PG2-2, for hemoglobin digestion <86>	2.0
