uniprot_id,reaction_type,fit_mean,fit_std,num_act,max_min_diff,enzyme_type,enzyme_type_sub,acceptor
05650,,8.4,,1,,Lyases,Carbon-carbon,
5650,,8.4,,1,,Oxidoreductases,aldehyde or oxo group of donors,iron-sulfur protein
A0A023I760,,8.0,,1,,Transferases,"alkyl or aryl groups, other than methyl groups",
A0A023I7E1,,5.5,,1,,Hydrolases,Glycosylases,
A0A023J5W7,,4.25,,1,,Hydrolases,Glycosylases,
A0A023RBJ1,reduction,5.5,,1,,Oxidoreductases,CH-OH group of donors,NAD+ or NADP+
A0A023UHK6,,11.0,,1,,Oxidoreductases,peroxide as acceptor,NAD+ or NADP+
A0A023VXA2,,4.5,,1,,Hydrolases,Glycosylases,
A0A024A6V9,,5.5,,1,,Hydrolases,Glycosylases,
A0A024FS29,,4.6,,1,,Hydrolases,Glycosylases,
A0A024FSF5,,4.6,,1,,Hydrolases,Glycosylases,
A0A024QYS6,,5.4,,1,,Hydrolases,Glycosylases,
A0A024RXP8,,5.5,,1,,Hydrolases,Glycosylases,
A0A024SC78,,5.5,,1,,Hydrolases,ester bonds,
A0A044RE18,,7.0,,1,,Hydrolases,peptide bonds (peptidases),
A0A059Q746,,7.5,,1,,Transferases,Glycosyltransferases,
A0A059SVJ4,,5.0,,1,,Transferases,Glycosyltransferases,
A0A059TC02,reduction,6.0,,1,,Oxidoreductases,aldehyde or oxo group of donors,NAD+ or NADP+
A0A059TC02,,6.0,,1,,Oxidoreductases,aldehyde or oxo group of donors,NAD+ or NADP+
A0A059VLI3,,7.0,,1,,Hydrolases,Glycosylases,
A0A060DAC6,,8.5,,1,,Hydrolases,Glycosylases,
A0A060IGN1,,8.0,,1,,Transferases,nitrogenous groups,
A0A060PQX5,,9.5,,1,,Transferases,nitrogenous groups,
A0A061D1S0,,7.5,,1,,Hydrolases,ester bonds,
A0A061FMF5,,9.25,,1,,Transferases,one-carbon groups,
A0A061M1M5,,5.5,,1,,Hydrolases,Glycosylases,
A0A067XRW0,,9.0,,1,,Hydrolases,Glycosylases,
A0A067XSJ2,,5.375,,1,,Transferases,Glycosyltransferases,
A0A067YMX8,,6.0,,1,,Transferases,Glycosyltransferases,
A0A068B1E8,,7.333333333333333,,1,,Hydrolases,Glycosylases,
A0A068B2Y3,,7.333333333333333,,1,,Hydrolases,Glycosylases,
A0A068B3H5,,7.333333333333333,,1,,Hydrolases,Glycosylases,
A0A068B4L8,,7.333333333333333,,1,,Hydrolases,Glycosylases,
A0A068B4M2,,7.333333333333333,,1,,Hydrolases,Glycosylases,
A0A068B780,,7.333333333333333,,1,,Hydrolases,Glycosylases,
A0A068B783,,7.333333333333333,,1,,Hydrolases,Glycosylases,
A0A068EUE1,,8.0,,1,,Oxidoreductases,sulfur group of donors,NAD+ or NADP+
A0A068PC91,,7.4,,1,,Lyases,Carbon-oxygen,
A0A068VNW5,,5.0,,1,,Transferases,"alkyl or aryl groups, other than methyl groups",
A0A072PAD1,,9.0,,1,,Hydrolases,ester bonds,
A0A073KHN9,,6.5,,1,,Oxidoreductases,other nitrogenous compounds as donors,NAD+ or NADP+
A0A075B5G4,,8.5,,1,,Hydrolases,ester bonds,
A0A075BZ18,oxidation,9.0,,1,,Oxidoreductases,CH-OH group of donors,NAD+ or NADP+
A0A075BZ18,reduction,6.0,,1,,Oxidoreductases,CH-OH group of donors,NAD+ or NADP+
A0A075D5I4,,7.5,,1,,Transferases,one-carbon groups,
A0A075D657,,7.0,,1,,Transferases,one-carbon groups,
A0A075EDT8,,6.0,,1,,Hydrolases,Glycosylases,
A0A075EEX4,,6.5,,1,,Hydrolases,Glycosylases,
A0A075FFV0,,4.5,,1,,Hydrolases,ester bonds,
A0A075HNX4,,8.5,,1,,Oxidoreductases,CH-OH group of donors,oxygen
A0A075HNX4,oxidation,8.001214505483782,1.226113120854488,2,,Oxidoreductases,CH-OH group of donors,oxygen
A0A075Q354,,5.25,,1,,Lyases,Carbon-carbon,
A0A075TJ05,,6.0,,1,,Hydrolases,peptide bonds (peptidases),
A0A075X1K1,,5.5,,1,,Hydrolases,Glycosylases,
A0A075XAG5,,8.0,,1,,Oxidoreductases,"paired donors, with molecular oxygen",other
A0A076MQB4,,8.5,,1,,Hydrolases,"carbon-nitrogen bonds, other than peptide bonds",
A0A077JN67,,7.75,,1,,Oxidoreductases,CH-NH2 group of donors,oxygen
A0A077LPS9,,8.0,,1,,Isomerases,Intramolecular oxidoreductases,
A0A077YGC3,,8.0,,1,,Hydrolases,ester bonds,
A0A087BL81,,5.0,,1,,Hydrolases,"carbon-nitrogen bonds, other than peptide bonds",
A0A087WNH6,,8.0,,1,,Hydrolases,carbon-sulfur bonds,
A0A088BC14,,6.5,,1,,Hydrolases,Glycosylases,
A0A088CA41,,6.2,,1,,Lyases,Carbon-oxygen,
A0A088MAR6,,7.5,,1,,Lyases,Carbon-halide,
A0A088MF62,,8.0,,1,,Transferases,one-carbon groups,
A0A088MI02,oxidation,9.6,,1,,Oxidoreductases,CH-OH group of donors,NAD+ or NADP+
A0A088MI02,reduction,7.4,,1,,Oxidoreductases,CH-OH group of donors,NAD+ or NADP+
A0A089LI24,,7.699999999999999,,1,,Transferases,Glycosyltransferases,
A0A090IMH4,,7.3,,1,,Transferases,"alkyl or aryl groups, other than methyl groups",
A0A093HJH8,,7.5,,1,,Hydrolases,peptide bonds (peptidases),
A0A094XEM2,,7.0,,1,,Lyases,Carbon-carbon,
A0A096P8D3,,8.0,,1,,Oxidoreductases,CH-OH group of donors,NAD+ or NADP+
A0A097PUC5,,10.0,,1,,Lyases,Carbon-oxygen,
A0A097QQT4,,6.0,,1,,Hydrolases,Glycosylases,
A0A097ZMY7,oxidation,10.0,,1,,Oxidoreductases,CH-OH group of donors,NAD+ or NADP+
A0A097ZMZ1,oxidation,9.0,,1,,Oxidoreductases,CH-OH group of donors,NAD+ or NADP+
A0A0A0BUC7,,7.0,,1,,Transferases,Glycosyltransferases,
A0A0A0PTJ7,,6.033333333333334,,1,,Oxidoreductases,CH-OH group of donors,NAD+ or NADP+
A0A0A0PVL7,,6.033333333333334,,1,,Oxidoreductases,CH-OH group of donors,NAD+ or NADP+
A0A0A0Q4S7,,6.35,,1,,Hydrolases,Glycosylases,
A0A0A0Q5C7,,3.8333333333333335,,1,,Oxidoreductases,diphenols and related substances as donors,oxygen
A0A0A0WA73,,6.5,,1,,Hydrolases,Glycosylases,
A0A0A1DZ36,,8.0,,1,,Lyases,Carbon-oxygen,
A0A0A1EI83,,6.0,,1,,Hydrolases,ester bonds,
A0A0A1H8D7,,7.5,,1,,Isomerases,Racemases and epimerases,
A0A0A1HAT7,,7.5,,1,,Isomerases,Racemases and epimerases,
A0A0A2SLZ4,,9.5,,1,,Ligases,carbon-nitrogen bonds,
A0A0A7I0A5,oxidation,10.0,,1,,Oxidoreductases,CH-OH group of donors,NAD+ or NADP+
A0A0A7I0A5,reduction,7.5,,1,,Oxidoreductases,CH-OH group of donors,NAD+ or NADP+
A0A0A7I435,,8.0,,1,,Transferases,nitrogenous groups,
A0A0B4K692,,7.25,,1,,Hydrolases,peptide bonds (peptidases),
A0A0B5CSE1,,4.0,,1,,Lyases,Carbon-carbon,
A0A0B5L773,,6.0,,1,,Hydrolases,Glycosylases,
A0A0B6VMB0,,7.0,,1,,Transferases,phosphorus-containing groups,
A0A0B6VSN3,,5.0,,1,,Transferases,Acyltransferases,
A0A0C1Q6R1,oxidation,9.5,,1,,Oxidoreductases,CH-OH group of donors,NAD+ or NADP+
A0A0C1Q6R1,reduction,7.5,,1,,Oxidoreductases,CH-OH group of donors,NAD+ or NADP+
A0A0C4JZB0,,5.5,,1,,Hydrolases,Glycosylases,
A0A0C4Y3B2,,7.0,,1,,Oxidoreductases,peroxide as acceptor,NAD+ or NADP+
A0A0C5CJR8,,8.0,,1,,Hydrolases,peptide bonds (peptidases),
A0A0C5GVW3,,8.5,,1,,Hydrolases,"carbon-nitrogen bonds, other than peptide bonds",
A0A0C5GWS2,,5.5,,1,,Hydrolases,Glycosylases,
A0A0C5H8Q7,,5.0,,1,,Hydrolases,Glycosylases,
A0A0C6F7V8,,7.0,,1,,Oxidoreductases,CH-OH group of donors,cytochrome
A0A0D1DYW4,,8.5,,1,,Oxidoreductases,CH-OH group of donors,NAD+ or NADP+
A0A0D2E8J6,,8.0,,1,,Hydrolases,ester bonds,
A0A0D3R1A0,,5.0,,1,,Lyases,Carbon-carbon,
A0A0D5ZYA4,,10.5,,1,,Hydrolases,"carbon-nitrogen bonds, other than peptide bonds",
A0A0D7Q864,,7.0,,1,,Lyases,Nitrogen-oxygen,
A0A0E3JT70,,7.5,,1,,Oxidoreductases,aldehyde or oxo group of donors,iron-sulfur protein
A0A0E3JT70,oxidation,7.5,1.2739827004320683,4,,Oxidoreductases,aldehyde or oxo group of donors,iron-sulfur protein
A0A0E3JXD9,,8.0,,1,,Oxidoreductases,CH-NH2 group of donors,oxygen
A0A0E3KBH3,,7.5,,1,,Oxidoreductases,aldehyde or oxo group of donors,iron-sulfur protein
A0A0E3KBH3,oxidation,7.5,1.2739827004320683,4,,Oxidoreductases,aldehyde or oxo group of donors,iron-sulfur protein
A0A0E3SSZ6,,8.35,,1,,Oxidoreductases,CH-OH group of donors,NAD+ or NADP+
A0A0E4AYE7,,7.0,,1,,Isomerases,Intramolecular lyases,
A0A0F6FX23,oxidation,10.0,,1,,Oxidoreductases,CH-OH group of donors,NAD+ or NADP+
A0A0F6FX23,,10.0,,1,,Oxidoreductases,CH-OH group of donors,NAD+ or NADP+
A0A0F6FX23,reduction,7.5,,2,,Oxidoreductases,CH-OH group of donors,NAD+ or NADP+
A0A0F6N3N1,,7.0,,1,,Hydrolases,"carbon-nitrogen bonds, other than peptide bonds",
A0A0F6PB63,,6.0,,1,,Hydrolases,Glycosylases,
A0A0F6TMI2,,5.5,,1,,Hydrolases,ester bonds,
A0A0F6TP16,,5.4,,1,,Transferases,Glycosyltransferases,
A0A0F6WBJ2,,8.0,,1,,Lyases,Carbon-carbon,
A0A0F7EVN0,reduction,6.0,,1,,Oxidoreductases,aldehyde or oxo group of donors,NAD+ or NADP+
A0A0F7J8S0,,7.099999999999999,,1,,Transferases,phosphorus-containing groups,
A0A0F7JI94,,7.0,,1,,Oxidoreductases,"paired donors, with molecular oxygen",other
A0A0F7KL65,,9.0,,1,,Hydrolases,ester bonds,
A0A0F7MX47,,6.0,,1,,Hydrolases,Glycosylases,
A0A0F7MYK0,,6.0,,1,,Hydrolases,Glycosylases,
A0A0F7N1T1,,6.0,,1,,Hydrolases,Glycosylases,
A0A0F7R932,,7.5,,1,,Transferases,Acyltransferases,
A0A0F7TAS1,,4.05,,1,,Hydrolases,Glycosylases,
A0A0F7VJ89,,4.0,,1,,Oxidoreductases,peroxide as acceptor,NAD+ or NADP+
